iter	Passed	Remaining
0	186	18483
1	280	13762
2	339	10966
3	398	9552
4	490	9312
5	562	8818
6	643	8547
7	738	8495
8	822	8315
9	919	8274
10	1008	8161
11	1077	7900
12	1159	7761
13	1259	7739
14	1335	7566
15	1440	7562
16	1537	7507
17	1604	7310
18	1684	7179
19	1776	7107
20	1846	6947
21	1929	6842
22	2021	6768
23	2093	6629
24	2171	6515
25	2269	6458
26	2337	6319
27	2419	6221
28	2513	6153
29	2581	6023
30	2662	5925
31	2758	5860
32	2826	5738
33	2906	5642
34	2980	5535
35	3050	5422
36	3122	5316
37	3221	5255
38	3297	5158
39	3383	5075
40	3488	5020
41	3560	4916
42	3646	4834
43	3743	4764
44	3809	4656
45	3888	4564
46	3986	4495
47	4057	4395
48	4141	4310
49	4234	4234
50	4304	4135
51	4381	4044
52	4480	3972
53	4550	3876
54	4633	3790
55	4729	3716
56	4794	3617
57	4874	3529
58	4975	3457
59	5046	3364
60	5127	3278
61	5224	3201
62	5292	3108
63	5378	3025
64	5471	2946
65	5540	2854
66	5635	2775
67	5731	2697
68	5797	2604
69	5875	2517
70	5975	2440
71	6047	2351
72	6132	2268
73	6227	2188
74	6298	2099
75	6384	2016
76	6478	1935
77	6553	1848
78	6652	1768
79	6759	1689
80	6823	1600
81	6908	1516
82	7001	1433
83	7075	1347
84	7157	1263
85	7252	1180
86	7338	1096
87	7433	1013
88	7522	929
89	7586	842
90	7661	757
91	7752	674
92	7829	589
93	7924	505
94	8018	422
95	8086	336
96	8170	252
97	8281	169
98	8357	84
99	8442	0
